pickup,delivery,distance,equipment,weight,date,predicted_rate
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-01,828.24
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-02,828.62
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-03,828.49
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-04,828.61
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-05,828.79
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-06,827.87
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-07,826.53
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-08,828.24
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-09,828.62
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-10,828.49
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-11,828.61
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-12,828.79
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-13,827.87
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-14,826.53
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-15,828.24
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-16,828.62
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-17,828.49
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-18,828.61
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-19,828.79
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-20,827.87
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-21,826.53
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-22,828.24
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-23,828.62
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-24,828.49
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-25,828.61
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-26,828.79
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-27,827.87
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-28,826.53
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-29,828.24
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-30,828.62
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-31,828.49
